id,type_document_id,design_cover_id,no_style,no_po,type_shipmode_id,dest_country_id,name_fg_market_id,name_fg_color_id,name_fg_size_id,ship_date,qty_order,unit_price,group_entity_buyer_id,remark,status,created_ts,updated_ts
,2,369,344J2342,2299919-US1BU,1,23,12,8,470,2021-05-26,17,17.48,8,,Activate,2021-11-08 18:04,2021-11-08 18:04
,2,369,344J2342,2299919-US1BU,1,23,12,8,471,2021-05-26,24,17.48,8,,Activate,2021-11-08 18:04,2021-11-08 18:04
,2,369,344J2342,2299919-US1BU,1,23,12,8,472,2021-05-26,77,17.48,8,,Activate,2021-11-08 18:04,2021-11-08 18:04
,2,369,344J2342,2299919-US1BU,1,23,12,8,473,2021-05-26,64,17.48,8,,Activate,2021-11-08 18:04,2021-11-08 18:04
,2,369,344J2342,2299919-US1BU,1,23,12,8,474,2021-05-26,27,17.48,8,,Activate,2021-11-08 18:04,2021-11-08 18:04
,2,369,344J2342,2299919-US1BU,1,23,12,8,475,2021-05-26,9,17.48,8,,Activate,2021-11-08 18:04,2021-11-08 18:04
,2,369,344J2342,2299919-US1BU,1,23,12,8,476,2021-05-26,14,17.48,8,,Activate,2021-11-08 18:04,2021-11-08 18:04
,2,288,332J2278,2244105-US1O2,1,23,14,12,471,2021-01-05,1,7.84,8,,Activate,2021-11-08 18:04,2021-11-08 18:04
,2,288,332J2278,2244105-US1O2,1,23,14,12,472,2021-01-05,6,7.84,8,,Activate,2021-11-08 18:04,2021-11-08 18:04
,2,288,332J2278,2244105-US1O2,1,23,14,12,473,2021-01-05,17,7.84,8,,Activate,2021-11-08 18:04,2021-11-08 18:04
,2,288,332J2278,2244105-US1O2,1,23,14,12,474,2021-01-05,9,7.84,8,,Activate,2021-11-08 18:04,2021-11-08 18:04
,2,288,332J2278,2244105-US1O2,1,23,14,12,475,2021-01-05,5,7.84,8,,Activate,2021-11-08 18:04,2021-11-08 18:04
,2,255,244J1082,2244103-US1O2,1,23,14,12,526,2021-01-05,7,7.78,7,,Activate,2021-11-08 18:04,2021-11-08 18:04
,2,255,244J1082,2244103-US1O2,1,23,14,12,527,2021-01-05,3,7.78,7,,Activate,2021-11-08 18:04,2021-11-08 18:04
,2,255,244J1082,2244103-US1O2,1,23,14,12,528,2021-01-05,3,7.78,7,,Activate,2021-11-08 18:04,2021-11-08 18:04
