id,name_vendor_id,name_brand_id,doc_design_cover_id,num_invoice,num_style,num_po,name_country_dest_id,qty_shipped,amount_shipped,amount_final,name_country_origin_id,type_shipmode_id,date_exfty,date_etd,date_atd,date_payment_submit,date_payment_due,date_received,remark,creted_ts,updated_ts
,23,97,653,DHGI8122FF,344J2020,1938040-US1O2,23,14,72.24,72.24,9,1,2019-02-14,2019-02-14,2019-02-20,2019-02-20,2019-04-12,2019-04-15,,2021-12-20 14:46,2021-12-20 14:46
,23,97,656,DHGI8130FF,344J2036,1938039-US1O2,23,9,39.96,39.96,9,1,2019-02-14,2019-02-14,2019-02-20,2019-02-20,2019-04-12,2019-04-15,,2021-12-20 14:46,2021-12-20 14:46
,23,97,661,DHGI8313FF,132J0058,1938041-US1O2,23,11,85.25,85.25,24,1,2019-02-14,2019-02-14,2019-02-20,2019-02-20,2019-04-12,2019-04-15,,2021-12-20 14:46,2021-12-20 14:46
,23,97,469,DHGI9304FF,332J2064,1938042-US1O2,23,4,25.56,25.56,24,1,2019-02-14,2019-02-14,2019-02-20,2019-02-20,2019-04-12,2019-04-15,,2021-12-20 14:46,2021-12-20 14:46
,23,97,648,DHGI8128FF,344J2038,1938508-US1O2,23,38,271.32,271.32,9,1,2019-02-18,2019-02-18,2019-02-18,2019-02-25,2019-04-17,2019-04-18,,2021-12-20 14:46,2021-12-20 14:46
,23,97,652,DHGI8119FF,344J2023,1938505-US1O2,23,130,725.4,725.4,9,1,2019-02-18,2019-02-18,2019-02-18,2019-02-27,2019-04-19,2019-04-22,,2021-12-20 14:46,2021-12-20 14:46
,23,97,654,DHGI8124FF,244J1001,1938504-US1O2,23,31,265.98,265.98,9,1,2019-02-18,2019-02-18,2019-02-18,2019-02-27,2019-04-19,2019-04-22,,2021-12-20 14:46,2021-12-20 14:46
,23,97,655,DHGI8125FF,344J2044,1938509-US1O2,23,67,401.33,401.33,9,1,2019-02-18,2019-02-18,2019-02-18,2019-02-27,2019-04-19,2019-04-22,,2021-12-20 14:46,2021-12-20 14:46
,23,97,655,DHGI8129FF,344J2045,1938510-US1O2,23,49,388.57,388.57,9,1,2019-02-18,2019-02-18,2019-02-18,2019-02-25,2019-04-17,2019-04-18,,2021-12-20 14:46,2021-12-20 14:46
,23,97,657,DHGI8131FF,344J2048,1938511-US1O2,23,8,115.84,115.84,9,1,2019-02-18,2019-02-18,2019-02-18,2019-02-25,2019-04-17,2019-04-18,,2021-12-20 14:46,2021-12-20 14:46
,23,97,658,DHGI8132FF,344J2051,1938512-US1O2,23,13,146.9,146.9,9,1,2019-02-18,2019-02-18,2019-02-18,2019-02-25,2019-04-17,2019-04-18,,2021-12-20 14:46,2021-12-20 14:46
,23,97,659,DHGI8133FF,344J2054,1938513-US1O2,23,2,21.2,21.2,9,1,2019-02-18,2019-02-18,2019-02-18,2019-02-25,2019-04-17,2019-04-18,,2021-12-20 14:46,2021-12-20 14:46
,23,97,660,DHGI8134FF,344J2083,1938514-US1O2,23,5,80.6,80.6,9,1,2019-02-18,2019-02-18,2019-02-18,2019-02-25,2019-04-17,2019-04-18,,2021-12-20 14:46,2021-12-20 14:46
,23,97,441,DHGI8127FF,344J2049,1938515-US1O2,23,8,43.2,43.2,9,1,2019-02-18,2019-02-18,2019-02-18,2019-02-25,2019-04-17,2019-04-18,,2021-12-20 14:46,2021-12-20 14:46
,23,97,669,DHGI9305FF,332J2098,1938507-US1O2,23,3,67.65,67.65,9,1,2019-02-18,2019-02-18,2019-02-18,2019-02-25,2019-04-17,2019-04-18,,2021-12-20 14:46,2021-12-20 14:46
,23,97,473,DHGI9307FF,332J2092,1938506-US1O2,23,5,73.85,73.85,9,1,2019-02-18,2019-02-18,2019-02-18,2019-02-25,2019-04-17,2019-04-18,,2021-12-20 14:46,2021-12-20 14:46
,23,97,481,DHGI8119FF1,344J2023,1939532-US1O2,23,23,125.81,125.81,9,1,2019-02-25,2019-02-25,2019-02-25,2019-02-27,2019-04-19,2019-04-22,,2021-12-20 14:46,2021-12-20 14:46
,23,97,662,DHGI8316FF,332J2029,1939535-US1O2,23,15,94.35,94.35,9,1,2019-02-25,2019-02-25,2019-02-25,2019-02-27,2019-04-19,2019-04-22,,2021-12-20 14:46,2021-12-20 14:46
,23,97,663,DHGI8318FF,332J2033,1939534-US1O2,23,66,412.5,412.5,9,1,2019-02-25,2019-02-25,2019-02-25,2019-02-27,2019-04-19,2019-04-22,,2021-12-20 14:46,2021-12-20 14:46
,23,97,664,DHGI8319FF,332J2034,1939701-US1O2,23,33,260.37,260.37,9,1,2019-02-25,2019-02-25,2019-02-25,2019-02-27,2019-04-19,2019-04-22,,2021-12-20 14:46,2021-12-20 14:46
,23,97,664,DHGI8319FF,332J2034,1941108-US1O2,23,69,550.62,550.62,9,1,2019-02-25,2019-02-25,2019-02-25,2019-02-27,2019-04-19,2019-04-22,,2021-12-20 14:46,2021-12-20 14:46
,23,97,665,DHGI8320FF,332J2036,1939533-US1O2,23,56,470.4,470.4,9,1,2019-02-25,2019-02-25,2019-02-25,2019-02-27,2019-04-19,2019-04-22,,2021-12-20 14:46,2021-12-20 14:46
,23,97,666,DHGI8324FF,332J2032,1939531-US1O2,23,66,976.8,976.8,9,1,2019-02-25,2019-02-25,2019-02-25,2019-02-27,2019-04-19,2019-04-22,,2021-12-20 14:46,2021-12-20 14:46
,23,99,678,032019/AMAZON-PH,B-S17SZ6500,3MK48JKS,23,8429,37930.5,37930.5,24,1,2019-03-17,2019-03-17,2019-03-17,2019-03-28,2019-06-17,2019-06-27,,2021-12-20 14:46,2021-12-20 14:46
,23,99,678,032019/AMAZON-PH,B-S17SZ6500,3MK48JKS,23,1161,4527.9,4527.9,24,1,2019-03-17,2019-03-17,2019-03-17,2019-03-28,2019-06-17,2019-06-27,,2021-12-20 14:46,2021-12-20 14:46
,23,99,614,032019/AMAZON-PH,B-S17SZ6501,3MK48JKS,23,8341,36867.22,36867.22,24,1,2019-03-17,2019-03-17,2019-03-17,2019-03-28,2019-06-17,2019-06-27,,2021-12-20 14:46,2021-12-20 14:46
,23,99,614,032019/AMAZON-PH,B-S17SZ6501,3MK48JKS,23,1161,4295.7,4295.7,24,1,2019-03-17,2019-03-17,2019-03-17,2019-03-28,2019-06-17,2019-06-27,,2021-12-20 14:46,2021-12-20 14:46
,23,99,594,032019/AMAZON-HVA,AE1913182,4X7JEHK,23,3166,14057.04,14057.04,24,1,2019-03-19,2019-03-19,2019-03-19,2019-05-29,2019-08-27,2019-08-28,,2021-12-20 14:46,2021-12-20 14:46
,23,99,594,032019/AMAZON-HVA,AE1913182,4X7JEHK,23,3860,18026.2,18026.2,24,1,2019-03-19,2019-03-19,2019-03-19,2019-05-29,2019-08-27,2019-08-28,,2021-12-20 14:46,2021-12-20 14:46
,23,99,594,032019/AMAZON-HVA,AE1913182,4X7JEHK,23,607,2695.08,2695.08,24,1,2019-03-19,2019-03-19,2019-03-19,2019-05-29,2019-08-27,2019-08-28,,2021-12-20 14:46,2021-12-20 14:46
