id,doc_prod_num_id,num_sku,num_asin,num_product_amazon_id,num_fnsku,name_fg_color_id,name_fg_size_id,Product#,val_freight,val_duty,val_dest,val_storage,,,행 레이블,val_freight,val_duty,val_dest,val_storage,,행 레이블,Product Number,"오더
차수",합계 : 실제 수량,,행 레이블,Product Number,오더차수, 합계 : 실제 수량 , F/pcs , D/pcs , O/pcs , S/pcs ,, Freight , Duty , Other , Storage ,,행 레이블,평균 : F/pcs,평균 : D/pcs,평균 : O/pcs,평균 : S/pcs
15,2,NF2002_#BE3,B098TH2Z2Z,1.94E+11,B098TH2Z2Z,42,11,NF2002,2.1217,0.8425,0.2418,0.0128,,,NF2015,0.5132,1.0136,0.014,0.0028,,HJHAN2103142,SN2004,1,500,,HJHAN2103142,SN2004,1, 500 , 2.28 , 2.43 , 0.91 , 0.04 ,,,,,,,NF2015, 3.07 , 0.50 , 0.13 , 1.00 
16,2,NF2002_#BE4,B098TFYGGD,1.94E+11,B098TFYGGD,42,13,NF2002,2.1217,0.8425,0.2418,0.0128,,,NF2101,1.2774,1.442,0,0,,WTA2104083,NF2013,1,527,,WTA2104083,NF2013,1, 527 , 3.25 , 3.12 , 0.55 , 0.05 ,," 8,179.50 "," 7,856.72 "," 1,380.54 ", 115.82 ,,NF2101, 0.13 , 1.27 , 1.00 , - 
17,2,NF2002_#BE5,B098TH13Z3,1.94E+11,B098TH13Z3,42,14,NF2002,2.1217,0.8425,0.2418,0.0128,,,NF2102,1.2774,1.442,0,0,,WTA2104083,SN2001,1,810,,WTA2104083,SN2001,1, 810 , 3.25 , 3.12 , 0.55 , 0.05 ,,,,,,,NF2102, 0.13 , 1.27 , 1.00 , - 
18,2,NF2002_#BL1,B098TGMKCX,1.94E+11,B098TGMKCX,37,10,NF2002,2.1217,0.8425,0.2418,0.0128,,,NF2103,1.2774,1.442,0,0,,WTA2104083,SN2002,1,1182,,WTA2104083,SN2002,1," 1,182 ", 3.25 , 3.12 , 0.55 , 0.05 ,,,,,,,NF2103, 0.13 , 1.27 , 1.00 , - 
19,2,NF2002_#BL2,B098TK4D3J,1.94E+11,B098TK4D3J,37,12,NF2002,2.1217,0.8425,0.2418,0.0128,,,NF2104,3.0454,2.6056,0.5707,0.0829,,WTA2104084,NF2005,1,1367,,WTA2104084,NF2005,1," 1,367 ", 1.91 , 1.40 , 0.47 , 0.03 ,," 2,616.00 "," 1,920.05 ", 636.46 , 34.18 ,,NF2104, 1.65 , 1.86 , 0.53 , 0.47 
20,2,NF2002_#BL3,B098TGD6YK,1.94E+11,B098TGD6YK,37,11,NF2002,2.1217,0.8425,0.2418,0.0128,,,NF2105,3.0454,2.6056,0.5707,0.0829,,WTA2107023,NF2004,1,555,,WTA2107023,NF2004,1, 555 , 2.88 , 0.95 , 1.01 , 0.09 ,," 1,598.00 ", 524.51 , 561.15 , 48.00 ,,NF2105, 1.65 , 1.86 , 0.53 , 0.47 
21,2,NF2002_#BL4,B098TGLCN6,1.94E+11,B098TGLCN6,37,13,NF2002,2.1217,0.8425,0.2418,0.0128,,,NF2106,1.2774,1.442,0,0,,WTA2108002,NF2004,1,400,,WTA2108002,NF2004,1, 400 , 3.03 , 0.96 , 1.72 , 0.07 ,," 1,213.80 ", 385.63 , 686.66 , 29.50 ,,NF2106, 0.13 , 1.27 , 1.00 , - 
22,2,NF2002_#BL5,B098TFQXB8,1.94E+11,B098TFQXB8,37,14,NF2002,2.1217,0.8425,0.2418,0.0128,,,NF2108,3.0454,2.6056,0.5707,0.0829,,WTHPH2108022,NF2002,2,2702,,WTHPH2108022,NF2002,2," 2,702 ", 0.51 , 0.88 , 0.16 , 0.02 ,," 3,813.48 "," 6,645.40 "," 1,207.70 ", 168.56 ,,NF2108, 1.65 , 1.86 , 0.53 , 0.47 
23,2,NF2002_#DG1,B098TH9HQZ,1.94E+11,B098TH9HQZ,41,10,NF2002,2.1217,0.8425,0.2418,0.0128,,,SN2001,3.8086,3.5185,0.5197,0.0048,,WTHPH2108022,NF2004,2,4845,,WTHPH2108022,NF2004,2," 4,845 ", 0.51 , 0.88 , 0.16 , 0.02 ,,,,,,,SN2001, 3.25 , 3.12 , 0.55 , 0.05 
24,2,NF2002_#DG2,B098TFXBY8,1.94E+11,B098TFXBY8,41,12,NF2002,2.1217,0.8425,0.2418,0.0128,,,SN2002,3.8086,3.5185,0.5197,0.0048,,WTHPH2110024,NF2007,1,3631,,WTHPH2110024,NF2007,1," 3,631 ", 0.13 , 1.27 , 1.00 , - ,, 832.30 ," 8,441.55 "," 6,645.40 ", - ,,SN2002, 3.25 , 3.12 , 0.55 , 0.05 
