id,size_id,name,id
300,300,000LONG,300
301,301,00LONG,301
302,302,0LONG,302
303,303,2LONG,303
304,304,4LONG,304
305,305,6LONG,305
306,306,8LONG,306
307,307,10LONG,307
308,308,12LONG,308
309,309,14LONG,309
310,310,16LONG,310
311,311,18LONG,311
312,312,20LONG,312
313,313,22LONG,313
314,314,23LONG,314
315,315,24LONG,315
316,316,25LONG,316
317,317,26LONG,317
318,318,27LONG,318
319,319,28LONG,319
320,320,29LONG,320
321,321,30LONG,321
322,322,31LONG,322
323,323,32LONG,323
324,324,33LONG,324
325,325,34LONG,325
326,326,35LONG,326
327,327,0000P,327
328,328,000P,328
329,329,00P,329
330,330,0P,330
331,331,2P,331
332,332,4P,332
333,333,6P,333
334,334,8P,334
335,335,10P,335
336,336,12P,336
337,337,14P,337
338,338,16P,338
339,339,18P,339
340,340,20P,340
341,341,22P,341
342,342,23P,342
343,343,24P,343
344,344,25P,344
345,345,26P,345
346,346,27P,346
347,347,28P,347
348,348,29P,348
349,349,30P,349
350,350,31P,350
351,351,32P,351
352,352,33P,352
353,353,34P,353
354,354,35P,354
355,355,0000REG,355
356,356,000REG,356
357,357,00REG,357
358,358,0REG,358
359,359,2REG,359
360,360,4REG,360
361,361,6REG,361
362,362,8REG,362
363,363,10REG,363
364,364,12REG,364
365,365,14REG,365
366,366,16REG,366
367,367,18REG,367
368,368,20REG,368
369,369,22REG,369
370,370,23REG,370
371,371,24REG,371
372,372,25REG,372
373,373,26REG,373
374,374,27REG,374
375,375,28REG,375
376,376,29REG,376
377,377,30REG,377
378,378,31REG,378
379,379,32REG,379
380,380,33REG,380
381,381,34REG,381
382,382,35REG,382
383,383,0000SRT,383
384,384,000SHRT,384
385,385,00SHORT,385
386,386,0SHORT,386
387,387,2SHORT,387
388,388,4SHORT,388
389,389,6SHORT,389
390,390,8SHORT,390
391,391,10SHORT,391
392,392,12SHORT,392
393,393,14SHORT,393
394,394,16SHORT,394
395,395,18SHORT,395
396,396,20SHORT,396
397,397,22SHORT,397
398,398,23SHORT,398
399,399,24SHORT,399
400,400,25SHORT,400
401,401,26SHORT,401
402,402,27SHORT,402
403,403,28SHORT,403
404,404,29SHORT,404
405,405,30SHORT,405
406,406,31SHORT,406
407,407,32SHORT,407
408,408,33SHORT,408
409,409,34SHORT,409
410,410,35SHORT,410
411,411,000TALL,411
412,412,00TALL,412
413,413,0TALL,413
414,414,2TALL,414
415,415,4TALL,415
416,416,6TALL,416
417,417,8TALL,417
418,418,10TALL,418
419,419,12TALL,419
420,420,14TALL,420
421,421,16TALL,421
422,422,0000TAL,422
423,423,22TALL,423
424,424,23TALL,424
425,425,24TALL,425
426,426,25TALL,426
427,427,26TALL,427
428,428,27TALL,428
429,429,28TALL,429
430,430,29TALL,430
431,431,30TALL,431
432,432,31TALL,432
433,433,32TALL,433
434,434,33TALL,434
435,435,34TALL,435
436,436,35TALL,436
437,437,XXS/XS,437
438,438,XS/S,438
439,439,M/L,439
440,440,XL/XXL,440
441,441,XXXS+,441
442,442,XXS+,442
443,443,XXXL+,443
444,444,00 TALL,444
445,445,0 TALL,445
446,446,2 TALL,446
447,447,18 TALL,447
448,448,20 TALL,448
449,449,1X,449
450,450,2X,450
451,451,3X,451
452,452,4X,452
453,453,8XSHORT,453
454,454,16XSHRT,454
455,455,10XSHRT,455
456,456,6XSHORT,456
457,457,14XSHRT,457
458,458,18XSHRT,458
459,459,4XSHORT,459
460,460,0XSHORT,460
461,461,20XSHRT,461
462,462,2XSHORT,462
463,463,12XSHRT,463
464,464,26+,464
465,465,20+,465
466,466,24+,466
467,467,22+,467
468,468,28+,468
469,0,,469
470,469,XX SMALL,470
471,470,X SMALL,471
472,471,SMALL,472
473,472,MEDIUM,473
474,473,LARGE,474
475,474,X LARGE,475
476,475,XXLARGE,476
478,476,44322,478
479,477,44385,479
480,478,44449,480
481,479,44512,481
482,480,13/14,482
483,481,15/16,483
484,482,26,484
485,483,28,485
486,484,29,486
487,485,30,487
488,486,31,488
489,487,32,489
490,488,44322,490
491,489,44385,491
492,490,44449,492
493,491,44512,493
494,492,XS/16W,494
495,493,S/18W,495
496,494,M/20W,496
497,495,L/22W,497
498,496,XL/24W,498
499,497,16W,499
500,498,18W,500
501,499,20W,501
502,500,22W,502
503,501,24W,503
504,502,26W,504
505,503,2XLT,505
506,504,3XLT,506
507,505,4XLT,507
508,506,2XL,508
509,507,3XL,509
510,508,4XL,510
511,509,44322,511
512,510,44512,512
513,511,26,513
514,512,28,514
515,513,29,515
516,514,30,516
517,515,31,517
518,516,32,518
519,517,33,519
520,518,34,520
521,519,36,521
522,520,38,522
523,521,44385,523
524,522,44449,524
525,523,XXXLARGE,525
526,524,44322,526
527,525,44385,527
528,526,44512,528
529,527,44449,529
