id,type_document_id,vendor_comp_id,type_dept_id,type_team_id,status,no_indent,id,brand_company_id,no_design,id,type_season_id,name_season_y_id,type_gender_id,type_fabric_main_id,type_apparel_id,type_order_id,type_order_detail_id,mid_comp_id,remark,creted_ts,updated_ts
42,18,24,3,0,CLOSE,LEV-1001,42,101,211321AY2,42,3,3,2,2,31,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
43,18,24,3,0,CLOSE,LEV-1022,43,101,211330AYK,43,3,3,2,2,10,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
44,18,24,3,0,CLOSE,LEV-1052,44,101,211411AY1,44,3,3,2,2,24,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
45,18,24,3,0,CLOSE,LEV-1054,45,101,211411AY2,45,3,3,2,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
46,18,24,3,0,CLOSE,LEV-1050,46,101,211411BY1,46,3,3,2,2,24,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
47,18,24,3,0,CLOSE,LEV-1053,47,101,211421AY1,47,3,3,2,2,31,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
48,18,24,3,0,CLOSE,LEV-1055,48,101,211421AY2,48,3,3,2,2,31,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
49,18,24,3,0,CLOSE,LEV-1051,49,101,211421BY1,49,3,3,2,2,31,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
50,18,24,3,0,CLOSE,LEV-1058,50,101,211525AY1,50,3,3,2,2,31,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
51,18,24,3,0,OPEN,LEV-1083,51,101,211921AYD,51,4,3,2,2,31,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
52,18,24,3,0,OPEN,LEV-1091,52,101,211930AY1,52,4,3,2,2,10,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
53,18,24,3,0,OPEN,LEV-1078,53,101,211930DY1,53,4,3,2,2,10,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
54,18,24,3,0,OPEN,LEV-1102,54,101,211Y21DZ1,54,4,3,2,2,31,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
55,18,24,3,0,OPEN,LEV-22004,55,101,212111AY1,55,3,4,2,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
56,18,24,3,0,OPEN,LEV-22005,56,101,212121AY1,56,3,4,2,2,31,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
57,18,24,3,0,OPEN,LEV-22008,57,101,212130AY1,57,3,4,2,2,10,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
58,18,24,3,0,OPEN,LEV-22007,58,101,212221DY2,58,3,4,2,2,31,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
59,18,24,3,0,OPEN,LEV-22036,59,101,212311AY1,59,3,4,2,2,24,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
60,18,24,3,0,OPEN,LEV-22039,60,101,212311DY1,60,3,4,2,2,24,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
61,18,24,3,0,OPEN,LEV-22037,61,101,212321AY3,61,3,4,2,2,31,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
62,18,24,3,0,OPEN,LEV-22060,62,101,212321DZ1,62,3,4,2,2,31,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
63,18,24,3,0,OPEN,LEV-22003,63,101,212330AY1,63,3,4,2,2,10,1,0,31,,2021-11-06 0:00,2021-11-06 0:00
64,18,24,3,0,OPEN,LEV-22038,64,101,212330AY2,64,3,4,2,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
