id,type_document_id,design_cover_id,no_style,no_po,type_shipmode_id,dest_country_id,name_fg_market_id,name_fg_color_id,name_fg_size_id,ship_date,qty_order,unit_price,group_entity_buyer_id,remark,status,created_ts,updated_ts
,2,538,SW30100013189A/B,6556798840,1,23,1,Null,Null,2020-07-09,720,12.38,6,Null,Activate,2021-10-22,2021-10-22
,2,537,SW30100013142,6556799046,1,23,1,Null,Null,2020-07-09,112,17.33,6,Null,Activate,2021-10-22,2021-10-22
,2,536,SW30100013444,1012923536,1,23,1,Null,Null,2020-07-09,112,16.37,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012924114,1,23,1,Null,Null,2020-07-10,552,9.09,6,Null,Activate,2021-10-22,2021-10-22
,2,534,GM40505Y/YP/YB,5612516269,1,23,1,Null,Null,2020-07-11,8760,11.64,6,Null,Activate,2021-10-22,2021-10-22
,2,534,GM40505Y/YP/YB,5612515300,1,23,1,Null,Null,2020-07-12,16548,11.73,6,Null,Activate,2021-10-22,2021-10-22
,2,534,GM40505Y/YP/YB,5612516268,1,23,1,Null,Null,2020-07-16,11472,11.64,6,Null,Activate,2021-10-22,2021-10-22
,2,533,NBM40701Y/YB,5612516988,1,23,1,Null,Null,2020-07-17,348,8.65,6,Null,Activate,2021-10-22,2021-10-22
,2,538,SW30100013189A/B,6556799222,1,23,1,Null,Null,2020-07-18,384,12.33,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012923369,1,23,1,Null,Null,2020-07-22,25128,9.27,6,Null,Activate,2021-10-22,2021-10-22
,2,537,SW30100013142,6556798296,1,23,1,Null,Null,2020-07-22,7188,17.33,6,Null,Activate,2021-10-22,2021-10-22
,2,533,NBM40701Y/YB,5612516991,1,23,1,Null,Null,2020-07-23,180,8.6,6,Null,Activate,2021-10-22,2021-10-22
,2,537,SW30100013142,6556799047,1,23,1,Null,Null,2020-07-23,1328,17.33,6,Null,Activate,2021-10-22,2021-10-22
,2,536,SW30100013444,1012923530,1,23,1,Null,Null,2020-07-23,1328,16.37,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012924143,1,23,1,Null,Null,2020-07-24,36,11.86,6,Null,Activate,2021-10-22,2021-10-22
,2,538,SW30100013189A/B,6556799223,1,23,1,Null,Null,2020-07-24,204,12.37,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012923367,1,23,1,Null,Null,2020-07-25,31752,9.27,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012923359,1,23,1,Null,Null,2020-07-25,96,9.27,6,Null,Activate,2021-10-22,2021-10-22
,2,534,GM40505Y/YP/YB,5612516267,1,23,1,Null,Null,2020-07-25,15072,11.63,6,Null,Activate,2021-10-22,2021-10-22
,2,537,SW30100013142,6556799052,1,23,1,Null,Null,2020-07-25,16,17.33,6,Null,Activate,2021-10-22,2021-10-22
,2,537,SW30100013142,6556799460,1,23,1,Null,Null,2020-07-25,144,17.33,6,Null,Activate,2021-10-22,2021-10-22
,2,536,SW30100013444,1012923535,1,23,1,Null,Null,2020-07-25,16,16.37,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012923416,1,23,1,Null,Null,2020-07-26,219312,9.25,6,Null,Activate,2021-10-22,2021-10-22
,2,533,NBM40701Y/YB,5612516994,1,23,1,Null,Null,2020-07-26,204,8.29,6,Null,Activate,2021-10-22,2021-10-22
,2,537,SW30100013142,6556799050,1,23,1,Null,Null,2020-07-26,432,17.33,6,Null,Activate,2021-10-22,2021-10-22
,2,536,SW30100013444,1012923533,1,23,1,Null,Null,2020-07-26,432,16.37,6,Null,Activate,2021-10-22,2021-10-22
,2,535,SM40610Y/YB,5612517354,1,23,1,Null,Null,2020-07-26,624,20.99,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012923364,1,23,1,Null,Null,2020-07-27,23784,9.27,6,Null,Activate,2021-10-22,2021-10-22
,2,533,NBM40701Y/YB,5612517296,1,23,1,Null,Null,2020-07-27,34452,8.39,6,Null,Activate,2021-10-22,2021-10-22
,2,536,SW30100013444,1012923432,1,23,1,Null,Null,2020-07-29,6444,16.37,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012923366,1,23,1,Null,Null,2020-07-30,24384,9.27,6,Null,Activate,2021-10-22,2021-10-22
,2,539,WG30100012814/A/B,1012924123,1,23,1,Null,Null,2020-07-30,408,11.86,6,Null,Activate,2021-10-22,2021-10-22
,2,537,SW30100013142,6556799045,1,23,1,Null,Null,2020-07-30,32,17.33,6,Null,Activate,2021-10-22,2021-10-22
,2,536,SW30100013444,1012923529,1,23,1,Null,Null,2020-07-30,32,16.37,6,Null,Activate,2021-10-22,2021-10-22
,2,533,NBM40701Y/YB,5612517295,1,23,1,Null,Null,2020-07-31,34944,8.39,6,Null,Activate,2021-10-22,2021-10-22
,2,537,SW30100013142,6556799461,1,23,1,Null,Null,2020-07-31,96,17.33,6,Null,Activate,2021-10-22,2021-10-22
,2,537,SW30100013142,6556799049,1,23,1,Null,Null,2020-07-31,32,17.33,6,Null,Activate,2021-10-22,2021-10-22
,2,536,SW30100013444,1012923532,1,23,1,Null,Null,2020-07-31,32,16.37,6,Null,Activate,2021-10-22,2021-10-22
