id,type_document_id,vendor_comp_id,type_dept_id,type_team_id,status,no_indent,brand_company_id,no_design,type_season_id,name_season_y_id,type_gender_id,type_fabric_main_id,type_apparel_id,type_order_id,type_order_detail_id,mid_comp_id,creted_ts,updated_ts
,18,24,3,Null,OPEN,LEV-1083,101,211921AYD,4,3,2,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1091,101,211930AY1,4,3,2,2,10,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1078,101,211930DY1,4,3,2,2,10,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1102,101,211Y21DZ1,4,3,2,2,31,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22004,101,212111AY1,3,4,2,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22005,101,212121AY1,3,4,2,2,31,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22008,101,212130AY1,3,4,2,2,10,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22007,101,212221DY2,3,4,2,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22036,101,212311AY1,3,4,2,2,24,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22039,101,212311DY1,3,4,2,2,24,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22037,101,212321AY3,3,4,2,2,31,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22060,101,212321DZ1,3,4,2,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22003,101,212330AY1,3,4,2,2,10,1,6,31,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22038,101,212330AY2,3,4,2,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22059,101,212411AY1,3,4,2,2,24,1,6,31,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22006,101,222221BY2,3,4,2,2,31,1,6,31,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22001,101,222230BY1,3,4,2,2,10,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1101,101,251921GZ1,4,3,2,2,31,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1002,101,261121DY2,3,3,2,2,31,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1023,101,261221DY1,3,3,2,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-1085,101,261921EYA,4,3,2,2,31,1,6,15,2021-10-19,2021-10-19
